Category,Value
D,10.84
B,93.02
A,37.53
C,85.0
A,36.49
A,76.93
A,81.43
B,12.3
B,85.36
D,88.72
B,73.12
B,98.07
D,94.82
D,33.12
C,37.91
C,44.37
C,61.84
C,14.66
A,44.71
C,84.2
A,18.19
B,76.79
B,73.34
A,15.13
A,98.69
B,51.51
D,93.68
C,83.07
C,47.83
A,56.56
B,10.86
C,21.91
A,26.13
B,83.87
D,16.46
A,37.84
D,31.41
B,45.55
B,33.89
D,67.08
B,72.82
D,18.03
C,89.38
A,75.38
B,69.67
D,41.19
C,31.48
B,9.06
B,33.65
C,35.35
B,11.58
A,99.84
C,67.68
C,45.37
B,69.71
D,56.54
A,9.49
D,44.57
B,87.16
C,91.22
A,84.94
A,46.86
A,7.02
A,68.65
D,53.69
C,55.34
D,64.05
C,91.0
D,43.51
B,53.32
C,80.04
C,92.41
D,15.29
A,3.44
C,88.78
B,27.7
A,45.64
B,95.85
A,84.55
C,95.04
A,49.65
C,64.34
A,49.56
C,84.0
C,13.22
D,11.92
D,75.34
D,35.59
D,43.02
A,75.4
C,74.45
A,84.33
A,64.37
B,38.39
B,59.91
C,27.39
B,73.41
D,33.76
D,9.44
B,77.14
